Accuracy,ROC_AUC,Sensitivity,Specificity,Iteration
0.45256265810675794,0.38393058912426375,0.7088949733221005,0.05896620492642699,0
0.7941978021978022,0.7639457270648324,0.9109102176211132,0.6169812365085515,1
0.7714753576383361,0.7542367583708622,0.8391817288058686,0.6692917879358558,2
0.779526931959967,0.7561262492011814,0.8603078257099501,0.6519446726924131,5
0.7731398126033437,0.7511739638224624,0.8348175309935394,0.6675303966513852,10
0.745753178085274,0.7330366084053872,0.7687966804979253,0.6972765363128491,15
0.7283080646309346,0.6944572533338136,0.7571890892279242,0.6317254174397031,17
0.7283080646309346,0.6944572533338136,0.7571890892279242,0.6317254174397031,17
0.7283080646309346,0.6944572533338136,0.7571890892279242,0.6317254174397031,17
0.7283080646309346,0.6944572533338136,0.7571890892279242,0.6317254174397031,17
0.7283080646309346,0.6944572533338136,0.7571890892279242,0.6317254174397031,17
